id:ID(Point),lat,lon
"36.136237 -93.549318",36.136237,-93.549318
"36.136259 -93.469147",36.136259,-93.469147
"36.136259 -93.578458",36.136259,-93.578458
"36.13627 -93.738951",36.13627 ,-93.738951
"36.136302 -93.641812",36.136302,-93.641812
"36.136329 -93.510861",36.136329,-93.510861
"36.136329 -93.576838",36.136329,-93.576838
"36.13635 -93.779157",36.13635 ,-93.779157
"36.136372 -93.651731",36.136372,-93.651731
"36.136382 -93.6423",36.136382,2 -93.6423
"36.136388 -93.533579",36.136388,-93.533579
"36.136409 -93.598768",36.136409,-93.598768
"36.136409 -93.65562",36.136409, -93.65562
"36.136409 -93.668961",36.136409,-93.668961
"36.13642 -93.44004",36.13642 , -93.44004
"36.13642 -93.64282",36.13642 , -93.64282
"36.136431 -93.741161",36.136431,-93.741161
"36.136441 -93.586601",36.136441,-93.586601
"36.136457 -93.586821",36.136457,-93.586821
"36.136468 -93.533021",36.136468,-93.533021
"36.136468 -93.548879",36.136468,-93.548879
"36.136479 -93.439267",36.136479,-93.439267
"36.136479 -93.644789",36.136479,-93.644789
"36.136479 -93.644928",36.136479,-93.644928
"36.13649 -93.645079",36.13649 ,-93.645079
"36.13649 -93.703111",36.13649 ,-93.703111
"36.1365 -93.645427",36.1365 -,-93.645427
"36.136511 -93.576827",36.136511,-93.576827
"36.136522 -93.64591",36.136522, -93.64591
"36.136527 -93.705911",36.136527,-93.705911
"36.136527 -93.774458",36.136527,-93.774458
"36.136538 -93.646667",36.136538,-93.646667
"36.136538 -93.651248",36.136538,-93.651248
"36.136559 -93.647187",36.136559,-93.647187
"36.13657 -93.533188",36.13657 ,-93.533188
"36.13657 -93.585641",36.13657 ,-93.585641
"36.136602 -93.54853",36.136602, -93.54853
"36.136629 -93.65077",36.136629, -93.65077
"36.136629 -93.738967",36.136629,-93.738967
"36.136651 -93.649762",36.136651,-93.649762
"36.136651 -93.650271",36.136651,-93.650271
"36.136661 -93.466948",36.136661,-93.466948
"36.136672 -93.644837",36.136672,-93.644837
"36.136699 -93.46558",36.136699, -93.46558
"36.136699 -93.617672",36.136699,-93.617672
"36.136758 -93.548471",36.136758,-93.548471
"36.136758 -93.576988",36.136758,-93.576988
"36.136769 -93.598499",36.136769,-93.598499
"36.136779 -93.77943",36.136779, -93.77943
"36.136801 -93.73872",36.136801, -93.73872
"36.136822 -93.538627",36.136822,-93.538627
"36.136822 -93.586789",36.136822,-93.586789
"36.105247 -93.76596",36.105247, -93.76596
"36.105269 -93.73813",36.105269, -93.73813
"36.105276 -93.532616",36.105276,-93.532616
"36.105279 -93.486517",36.105279,-93.486517
"36.105279 -93.487488",36.105279,-93.487488
"36.105279 -93.49245",36.105279, -93.49245
"36.10529 -93.73254",36.10529 , -93.73254
"36.105306 -93.694188",36.105306,-93.694188
"36.105371 -93.50319",36.105371, -93.50319
"36.105381 -93.47633",36.105381, -93.47633
"36.10544 -93.757587",36.10544 ,-93.757587
"36.105467 -93.535988",36.105467,-93.535988
"36.105478 -93.495808",36.105478,-93.495808
"36.10551 -93.535789",36.10551 ,-93.535789
