:START_ID(Point),:END_ID(Point),distance:double
"35.942217 -93.657401","35.942807 -93.654348",0.28239
"35.942341 -93.780149","35.942652 -93.780729",0.06259
"35.943059 -93.527727","35.943108 -93.527888",0.01547
"35.944191 -93.502417","35.944235 -93.501505",0.08219
"35.944207 -93.600409","35.94447 -93.600302",0.03077
"35.944642 -93.600098","35.944889 -93.599889",0.03327
"35.94513 -93.465301","35.945479 -93.465161",0.04078
"35.947351 -93.493051","35.947968 -93.492198",0.10291
"35.949159 -93.596279","35.950039 -93.596611",0.10225
"35.949357 -93.658307","35.94969 -93.660051",0.16119
"35.949668 -93.485117","35.94977 -93.484951",0.01875
"35.949819 -93.526557","35.950248 -93.526471",0.0483
"35.950317 -93.661757","35.950757 -93.66357",0.17027
"35.950607 -93.536219","35.950832 -93.536267",0.02537
"35.951208 -93.628277","35.951299 -93.628438",0.01766
"35.951262 -93.66401","35.95146 -93.664289",0.03338
"35.95198 -93.63112","35.9522 -93.632011",0.0838
"35.952152 -93.43724","35.95227 -93.436558",0.06274
"35.952592 -93.650041","35.954411 -93.647589",0.29918
"35.953209 -93.435958","35.953429 -93.43584",0.02665
"35.953611 -93.673242","35.95367 -93.673419",0.01722
"35.955178 -93.531509","35.955398 -93.53182",0.03715
"35.955312 -93.67527","35.955521 -93.675801",0.05311
"35.955628 -93.747282","35.955762 -93.74711",0.02147
"35.955982 -93.638572","35.956642 -93.638078",0.08575
"35.95602 -93.69552","35.956631 -93.695697",0.06974
"35.956401 -93.76228","35.956959 -93.763927",0.1606
"35.956647 -93.697811","35.956969 -93.697258",0.06128
"35.958541 -93.769227","35.958879 -93.770139",0.09022
"35.95896 -93.464872","35.959179 -93.465108",0.03229
"35.959179 -93.783851","35.959448 -93.784071",0.03585
"35.959298 -93.51482","35.959888 -93.514321",0.07946
"35.95933 -93.736188","35.959812 -93.736537",0.06208
"35.95941 -93.678799","35.96007 -93.679588",0.10206
"35.959818 -93.481759","35.961352 -93.48185",0.17066
"35.960161 -93.51431","35.960601 -93.515142",0.08939
"35.960848 -93.694941","35.961207 -93.697081",0.19658
"35.96139 -93.771067","35.962098 -93.771207",0.07968
"35.961862 -93.68352","35.96221 -93.682029",0.13957
"35.962147 -93.684405","35.962398 -93.685199",0.07667
"35.962269 -93.794918","35.962269 -93.794231",0.06179
"35.962318 -93.476287","35.962741 -93.476132",0.04903
"35.962741 -93.476132","35.962859 -93.476121",0.01315
"35.96345 -93.741649","35.96426 -93.741568",0.09031
"35.963798 -93.782917","35.963889 -93.782901",0.01021
"35.964077 -93.720111","35.964421 -93.719821",0.04628
"35.964571 -93.59954","35.965209 -93.599181",0.0779
"35.964651 -93.551947","35.965311 -93.552081",0.07433
"35.965622 -93.79223","35.965847 -93.792257",0.02512
"35.965912 -93.482649","35.967612 -93.484221",0.23596
